,Organization - ID,Organization - Name,Organization - Website,Organization - CB Description,Organization - Company Type,Organization - CB Industries,Organization - Employee Range,Organization - New Industry,Keyword,MetaKeyword,MetaDescription,web_description,web_keywords
10,381,American Farm Bureau Federation,http://fb.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","bureau, advocacy, reform, agriculture, american, overview, leadership, section, women, events, safety, energy, videos, latest, state, market, virtual, federation, innovation, ranchers, farmers, action, county, questionnaire, trade, presidential, alerts, legal, media, candidate, programs, voice, covid, regulatory, renewable, rural, infrastructure, policy, issues, september, farm bureau, american farm, 2020 farm, section home, bureau federation, bureau virtual, the state, regulatory reform, reform agriculture, tax reform, renewable fuel, bureau county, presidential candidate, candidate questionnaire, action alerts, shop media, 2020 news, american farm bureau, 2020 farm bureau, farm bureau federation, farm bureau virtual, farm bureau county, presidential candidate questionnaire",,,"American Farm Bureau Federation is the unified national voice of agriculture, working through our grassroots organizations to enhance and strengthen the lives of rural Americans and to build strong, prosperous agricultural communities.",
11,382,"American Federation of State, County & Municipal Employees",http://www.afscme.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","afscme, union, workers, action, state, local, moment, member, september, people, leadership, president, record, biden, health, members, service, public, press, federation, american, benefits, county, advantage, municipal, difference, issues, education, employees, worker, updates, political, access, saunders, training, harris, kamala, opportunity, legislative, reports, resources, coronavirus, scholarships, priorities, afscme people, american federation, health care, joe biden, read more, take action, about afscme, state county, union difference, union workers, municipal employees, priorities our, your union, county and, lee saunders, kamala harris, and municipal, more september, join your, public service, blog press, your local, find your, education training, our issues, scholarships education, advantage scholarships, afscme advantage, coronavirus afscme, union form, member resources, difference member, union our, legislative reports, people legislative, our priorities, issues afscme, resources coronavirus, and municipal employees, member resources coronavirus, find your local, scholarships education training, advantage scholarships education, afscme advantage scholarships, coronavirus afscme advantage, resources coronavirus afscme, difference member resources, join your union, union difference member, people legislative reports, afscme people legislative, issues afscme people, our issues afscme, your union form, read more september",,,"AFSCME members provide the vital services that make America happen. With members in communities across the nation, we advocate for fairness in the workplace, excellence in public services and freedom and opportunity for all working families.",
12,383,American Federation of Teachers,http://www.aft.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","randi, president, title, public, school, education, teachers, heroes, weingarten, american, community, federation, members, professionals, funding, schools, votes, nurses, students, fight, pandemic, communities, union, action, title item, read more, randi weingarten, public education, aft president, president randi, heroes act, american federation, aft votes, take action, randi 039, our members, nurses and, more card, you need, the heroes, from the, act now, aft president randi, president randi weingarten, read more card",,,American Federation of Teachers public Web site.,
13,386,American Psychological Association,https://www.apa.org/,The American Psychological Association is a scientific and professional organization of psychologists in the United States and Canada.,Acquirer,"Association, Education, Health Care, Medical, Non Profit",1001-5000,"Civic, Non-Profit and Membership Groups","psychology, psychologists, american, books, psychological, science, association, topics, education, press, publications, popular, services, members, databases, benefit, center, research, magination, continuing, career, students, style, american psychological, psychological association, apa services, join apa, publications databases, apa news, magination press, continuing education, apa books, apa style, american psychological association",,,,
14,424,Arbor Day Foundation,http://www.arborday.org,"This is the mission statement of the Arbor Day Foundation, a 501(c)3 nonprofit conservation and education organization.",Acquirer,"Education, Non Profit",501-1000,"Civic, Non-Profit and Membership Groups","trees, arbor, foundation, standard, community, world, programs, campus, celebrate, plant, education, greener, partnerships, organization, corporate, circle, nursery, healthier, support, partners, donors, members, people, million, conservation, nonprofit, nurture, learn, inspire, cities, recovery, action, arbor day, day foundation, tree campus, our programs, the arbor, corporate partnerships, the world, trees and, our work, city usa, million members, the time, tree nursery, and healthier, greener and, world greener, our world, make our, trees tree, support our, partners support, and partners, donors and, members donors, education organization, around the, and education, conservation and, nonprofit conservation, for trees, trees the, celebrate trees, and celebrate, nurture and, plant nurture, inspire people, community tree, tree recovery, tree city, more about, community tree recovery, and celebrate trees, and education organization, million members donors, and partners support, our world greener",,,"This official site of the Arbor Day Foundation provides information about planting and caring for trees, our Rain Forest Rescue and Tree City USA programs, and much more. Buy trees and give a gift of trees through our Trees in Memory and Trees for America programs.","trees, arbor day, tree, free trees, tree planting, tree care, tree pruning, buy trees, fast growing trees, shade grown coffee, rain forest rescue, rain forest rescue coffee, tree conferences, tree city usa, tree curriculum kits, kids, make a difference"
15,683,Communication Workers of America,http://cwa-union.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","health, union, rights, social, submit, change, workers, veterans, america, safety, materials, email, members, events, communications, committee, politics, democracy, issues, senate, corporate, press, street, media, locals, careers, board, search, updates, september, health safety, communications workers, cwa veterans, for social, social change, about cwa, cwa careers, health care, veterans for, for social change",,,,
16,979,Girl Scouts of the USA,http://www.girlscouts.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","scouts, girls, scout, award, cookie, grades, world, troop, volunteer, cookies, national, action, stories, school, program, raising, adults, badges, council, foundation, civic, resources, contact, happy, parent, learn, email, racism, address, awesome, outdoors, families, leaders, digital, success, awards, troops, share, parents, advocacy, leadership, difference, donate, level, girl scouts, girl scout, gold award, award girl, the world, the girl, scouts and, join volunteer, civic action, for girls, national gold, for troop, troop leaders, help her, the kids, gold award girl, the girl scout, award girl scouts, national gold award, for troop leaders, award girl scout",,,"JOIN TODAY! Visit the official site of Girl Scouts of the USA—the preeminent leadership development organization for girls. Girls, parents, and alum can join, volunteer, or reconnect.  ",
17,1066,Humane Society of the US,http://www.humanesociety.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","animals, humane, society, united, states, fights, donate, fight, images, disaster, response, protect, action, prepared, hurricane, humane society, the hsus, the humane, the united, united states, you can, all animals, can help, images for, for the, give now, for animals, big fights, the humane society, the united states",,,The Humane Society of the United States is the nation's most effective animal protection organization. Join the HSUS in fighting for all animals!,
18,1123,International Brotherhood of Electrical Workers,http://www.ibew.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","power, media, departments, local, covid, national, the ibew",,,,
19,1124,International Brotherhood of Teamsters,https://teamster.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","teamsters, division, international, brotherhood, teamster, workers, local, conference, union, resources, september, benefits, twitter, headline, worker, history, action, covid, learn, health, trade, proposed, airline, insurance, comment, foods, griffith, grocery, press, webinars, women, instagram, youtube, facebook, leadership, international brotherhood, read more, the teamsters, your local, headline news, shop teamsters, learn more, teamsters local, more headline, teamsters teamsters, teamsters september, who are, how the, find your, more headline news, teamsters teamsters september, find your local",,,,
20,1126,International Union of Operating Engineers,http://www.iuoe.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups",,,,"IUOE provides skilled, safe and efficient heavy equipment operators and stationary engineers. ","job openings,operating engineer,stationary engineer,IUOE National Training Fund,registered apprentice training,apprentice training,heavy equipment operators,advantages of being an IUOE member,why hire IUOE,why join IUOE,non-destructive testing,hoisting and portable,building and facility maintenance,heavy equipment operator training schools,central pension fund,stationary engineer training,women apprenticeship,news affecting IUOE jobs,scholarship application for 2014 avail"
21,1127,International Longshore and Warehouse Union,http://www.ilwu.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","september, workers, union, international, covid, contract, secretary, ferris, august, local, treasurer, podcast, veterinary, docker, adams, justice, bader, ginsburg, first, library, comments, featured, president, action, longshore, reading, legislative, roots, people, willie, court, warehouse, archives, featuring, lindsay, supreme, upcoming, alert, director, statement, family, books, anniversary, marks, remembering, ratify, returns, specialists, elections, climate, sector, private, change, industry, read more, secretary treasurer, the ilwu, docker podcast, more ilwu, union contract, bader ginsburg, ruth bader, comments off, justice ruth, ilwu international, ilwu president, continue reading, willie adams, president willie, supreme court, featuring ilwu, ilwu secretary, international secretary, podcast featuring, ilwu local, dan and, remembering our, sector union, the industry, veterinary specialists, roots local, our roots, first private, year anniversary, library and, and archives, ilwu library, union ilwu, warehouse union, legislative director, private sector, crvs ratify, ratify first, ilwu young, about climate, climate change, change the, the upcoming, elections and, and ilwu, young workers, talk about, action alert, featured comments, international longshore, show dan, the show, ferris returns, veterinary workers, director lindsay, ruth bader ginsburg, read more ilwu, justice ruth bader, ilwu president willie, podcast featuring ilwu, featuring ilwu secretary, ilwu secretary treasurer, docker podcast featuring, president willie adams, our roots local, sector union contract, private sector union, first private sector, ratify first private, warehouse union ilwu, crvs ratify first, ilwu young workers, and ilwu young, about climate change, talk about climate, international secretary treasurer, ilwu international secretary, legislative director lindsay",,,,
22,1210,Knights of Columbus,http://www.kofc.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups",,,,,
23,1222,Laborers' International Union of North America,http://www.liuna.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","liuna, america, president, training, health, union, local, september, biden, washington, harris, kamala, welfare, laborers, members, education, international, retirees, leaders, agreements, labor, issues, history, caucus, joe biden, international union, biden and, kamala harris, read more",,,"The Build America union - half a million strong fighting for better wages and benefits, safer job sites and greater opportunity.","construction,laborers,build america,build canada,liuna builds america,construction jobs,unemployment,highway bill,immigration reform,infrastructure,laborers local,laborers union,contractors,construction craft,concrete,rigging,hoisting,pipelines,fracking,construction safety,prevailing wages,Davis Bacon,Terry OSullivan,LIUNA,national guard,furloughs"
24,1252,Lions Club,http://www.lionsclub.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups",,,,,
25,1256,Little League Baseball,http://www.littleleague.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","league, little, baseball, softball, chart, image, location, august, dates, series, world, season, challenger, learn, resources, search, winners, update, resumption, activities, local, videos, contact, little league, chart pdf, age chart, card image, 2021 location, world series, dates august, pdf new, league baseball, learn more, softball age, new 2022, softball dates, pdf 2021, baseball age, league softball, baseball dates, challenger age, little league baseball, little league softball, softball dates august",,,"Founded in 1939, Little League Baseball and Softball is the world’s largest organized youth sports program, with millions of players and more than one million adult volunteers in every U.S. state and more than 80 other countries.",
26,1356,Moose International,http://www.mooseintl.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","moose, international, program, donate, lodge, magazine, september, details, council, august, member, legion, members, veterans, read more, the moose, more for, moose international, details read, for details, moose news, moose magazine, donate now, moose find, shop moose, september 2020, for the, now shop, dues donate, pay dues, august 2020, moose legion, for details read, details read more, pay dues donate, now shop moose, shop moose find",,,,
27,1374,National Baptist Convention,http://www.nationalbaptist.com,,Acquirer,,,"Civic, Non-Profit and Membership Groups","registration, contact, events, resources, president, congress, ministry, commission, mission, social, baptist, annual, session, board, leadership, convention, laymen, worship, region, youth, education, music, national, auxiliary, state, structure, organizational, history, instagram, credit, christian, program, twitter, facebook, conference, general, objectives, justice, giving, moderators, statements, office, calendar, media, press, woman, openings, pre registration, news events, organizational structure, annual session, the national, national baptist, baptist convention, facebook instagram, mission objectives, music worship, worship arts, resources contact, board news, ministry cjc, the national baptist, national baptist convention, music worship arts, board news events",,,,
28,1375,National Educators Association,https://www.nea.org/home/1594.htm,,Acquirer,,,"Civic, Non-Profit and Membership Groups","education, public, support, members, community, educators, students, association, teachers, professionals, school, succeed, affiliates, allies, instructional, communities, state, professional, together, schools, tools, million, nation, search, share, aspiring, personnel, higher, edcommunities, faculty, funding, contact, governance, student, staff, specialized, retired, national, public education, our members, more than, aspiring educators, education support, support professionals, faculty staff, specialized instructional, instructional support, support personnel, community allies, students and, national education, education association, specialized instructional support, instructional support personnel, national education association",,,"From Atlanta to Albuquerque, Hartford to Honolulu, we support students in all roles and responsibilities. The result? An Association as strong and diverse as its communities.",
29,1377,National Wildlife Federation,http://www.nwf.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","wildlife, ranger, national, donate, federation, resources, conservation, action, nature, garden, search, lands, people, habitats, learn, future, generations, latest, environmental, magazines, guide, children, america, waters, educational, outdoors, careers, financials, heritage, contact, subscribe, threats, products, ranger rick, national wildlife, wildlife federation, the national, action fund, our work, wildlife conservation, environmental threats, our lands, more ways, magazines national, latest news, future generations, learn more, national wildlife federation, the national wildlife, magazines national wildlife",,,"Uniting all Americans to ensure wildlife thrive in a rapidly changing world, the National Wildlife Federation builds upon our nation's conservation heritage for present and future generations.","national wildlife federation, nwf, conservation, species, nature, america, animals"
30,1380,Nature Conservancy,http://www.nature.org,,Acquirer,,,"Civic, Non-Profit and Membership Groups","nature, geonavtarget, https, geonavtitle, geonavlink, geolocationcountrycode, geolocationstatecode, united, states, latin, america, caribbean, africa, pacific, conservancy, south, world, virginia, mexico, water, donate, dakota, explore, north, islands, carolina, english, climate, change, protect, provide, india, canada, feature, alaska, tennessee, australia, china, indonesia, georgia, brazil, europe, magazine, hampshire, nebraska, atlanta, vermont, texas, nevada, island, habesha, rhode, oklahoma, jersey, chapter, washington, pennsylvania, oregon, salmon, mission, wyoming, wisconsin, stand, action, events, significant, latest, global, missouri, insights, river, urban, support, conservation, challenges, tackle, valid, conversation, justice, membership, montana, florida, mississippi, zealand, bolivia, belize, argentina, virgin, puerto, jamaica, haiti, eastern, republic, dominican, bahamas, myanmar, colombia, mongolia, zambia, tanzania, seychelles, namibia, kenya, gabon, botswana, angola, species, people, chile, costa, minnesota, columbia, michigan, massachusetts, maryland, maine, louisiana, kentucky, kansas, indiana, illinois, idaho, hawaii, district, ecuador, delaware, connecticut, colorado, california, arkansas, arizona, alabama, panama, honduras, guatemala, salvador, local, https www, geonavlink https, www nature, nature org, geonavtarget self, self geonavtitle, usa geonavlink, geolocationcountrycode usa, united states, work united, geolocationstatecode geolocationcountrycode, latin america, work latin, the nature, nature conservancy, asia pacific, work africa, work asia, work caribbean, geolocationcountrycode geonavlink, geonavtitle new, climate change, hong kong, from the, states new, rhode island, south carolina, magazine feature, south dakota, the world, please provide, west virginia, explore the, our mission, for our, north carolina, north dakota, puerto rico, new york, new mexico, new jersey, new hampshire, costa rica, virgin islands, eastern caribbean, dominican republic, pacific islands, the pacific, new zealand, south africa, geonavtitle south, angola botswana, cape town, geonavtarget self geonavtitle, usa geonavlink https, work united states, work latin america, the nature conservancy, work asia pacific, geolocationcountrycode geonavlink https, geolocationstatecode geolocationcountrycode geonavlink, self geonavtitle south, the pacific islands",,,We're working around the world to protect the lands and waters on which all life depends and fight climate change. Join us.,"The Nature Conservancy, Climate Change, Protect Land and Water, Provide Food and Water Sustainably, Healthy Cities, Conservation, Science, Scientists, agriculture anthropology aquaculture aquatic ecology agricultural conservation avian ecology behavior economics bioacoustics biodiversity conservation biological oceanography boreal forest carbon carbon cycling cities climate climate change climate change adaptation climate change mitigation coastal ecology coastal and marine conservation coastal habitat restoration coastal resource management coastal restoration coastal risk coastal risk and resilience community conservation community ecology community engagement community planning conservation biology conservation finance conservation for cities conservation partnerships conservation planning conservation policy conservation science conservation strategies development coral reefs coral reef ecology coral reef health decision science development by design disaster risk reduction ecological economics economics ecosystems ecosystem carbon flux ecosystem services energy energy siting and migration environmental economics environmental policy equity estuarine and watershed restoration finance fire ecology fisheries fisheries management forest ecology forest monitoring forestry forests food security freshwater and marine science freshwater conservation freshwater ecology habitat restoration human behavior human well being hydropower geographic information systems GHG emissions /removals great lakes great lakes water quality grassland songbird ecology indigenous peoples infrastructure invasive species management investing interdisciplinary ecology landscape and watershed spatial planning landscape ecology land use change land use planning lead scientists local communities marine conservation marine ecology marine policy marine protected areas marine spatial planning migratory species conservation mitigation planning monitoring natural climate solutions natural resource management nonparametric statistics ocean acidification optimal monitoring oyster reef restoration pacific islands plant phenology policy population genetics population modelling prairie butterfly ecology private lands conservation public health public land use rare species REDD+ remote sensing restoration ecology return on investment rivers science synthesis and meta-analysis social monitoring socioeconomics soil soil science songbird conservation source water protection spatial ecology spatial planning spatial statistics species distribution modeling sustainable agriculture sustainable cities sustainable development sustainable forest management sustainability terrestrial ecology urban sustainability valuing nature's benefits water funds water markets water security water use welfare economics wetland restoration wildlife ecology wildlife management"
